"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"491","2020/11/27 23:57:13","2020/11/28 00:15:15","00:19:02","Default","852","Personal Multiple","none(none)","FINISHED","none"
"767","2020/12/09 09:51:34","2020/12/09 10:09:34","00:19:03","ELTE-krajcsi","1955","Personal Multiple","none(none)","FINISHED","none"
"569","2020/12/02 10:02:01","2020/12/02 10:20:01","00:19:05","Default","903","Personal Multiple","none(none)","FINISHED","none"
"839","2020/12/11 09:04:23","2020/12/11 09:22:24","00:19:06","ELTE-krajcsi","1977","Personal Multiple","none(none)","FINISHED","none"
"757","2020/12/09 07:59:49","2020/12/09 08:17:50","00:19:07","ELTE-krajcsi","1958","Personal Multiple","none(none)","FINISHED","none"
"494","2020/11/28 08:01:32","2020/11/28 08:15:34","00:19:12","Default","855","Personal Multiple","none(none)","FAIL","It's not allowed to reload this component (ID: 70). Study (ID: 70) is finished."
"846","2020/12/11 11:51:15","2020/12/11 12:09:17","00:19:16","ELTE-krajcsi","1979","Personal Multiple","none(none)","FINISHED","none"
"730","2020/12/08 18:59:39","2020/12/08 19:17:40","00:19:16","ELTE-krajcsi","1949","Personal Multiple","none(none)","FINISHED","none"
"745","2020/12/08 21:02:43","2020/12/08 21:20:46","00:19:22","ELTE-krajcsi","1953","Personal Multiple","none(none)","FINISHED","none"
"554","2020/12/01 12:37:30","2020/12/01 12:55:31","00:19:23","Default","897","Personal Multiple","none(none)","FINISHED","none"
"541","2020/11/30 15:45:41","2020/11/30 16:03:42","00:19:26","Default","889","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"555","2020/12/01 14:00:42","2020/12/01 14:18:42","00:19:27","Default","898","Personal Multiple","none(none)","FINISHED","none"
"791","2020/12/09 16:35:16","2020/12/09 16:53:19","00:19:31","ELTE-krajcsi","1967","Personal Multiple","none(none)","FINISHED","none"
"861","2020/12/12 17:45:44","2020/12/12 18:03:49","00:19:32","ELTE-krajcsi","1982","Personal Multiple","none(none)","FINISHED","none"
"800","2020/12/09 20:03:14","2020/12/09 20:21:15","00:19:32","ELTE-krajcsi","1970","Personal Multiple","none(none)","FINISHED","none"
"739","2020/12/08 20:28:17","2020/12/08 20:46:18","00:19:32","ELTE-krajcsi","1952","Personal Multiple","none(none)","FINISHED","none"
"577","2020/12/03 09:03:46","2020/12/03 09:21:47","00:19:41","Default","904","Personal Multiple","none(none)","FINISHED","none"
"546","2020/11/30 18:40:09","2020/11/30 18:58:12","00:19:51","Default","893","Personal Multiple","none(none)","FINISHED","none"
"591","2020/12/04 17:21:40","2020/12/04 17:39:41","00:19:53","Default","910","Personal Multiple","none(none)","FINISHED","none"
"522","2020/11/29 17:43:14","2020/11/29 18:03:16","00:20:02","Default","879","Personal Multiple","none(none)","FINISHED","none"
"508","2020/11/28 14:03:48","2020/11/28 14:23:50","00:20:04","Default","868","Personal Multiple","none(none)","FINISHED","none"
"506","2020/11/28 13:18:37","2020/11/28 13:38:46","00:20:14","Default","866","Personal Multiple","none(none)","FINISHED","none"
"515","2020/11/28 18:19:34","2020/11/28 18:39:40","00:20:22","Default","873","Personal Multiple","none(none)","FINISHED","none"
"842","2020/12/11 10:26:11","2020/12/11 10:46:13","00:20:25","ELTE-krajcsi","1975","Personal Multiple","none(none)","FINISHED","none"
"853","2020/12/11 19:01:29","2020/12/11 19:21:32","00:20:26","ELTE-krajcsi","1980","Personal Multiple","none(none)","FINISHED","none"
"746","2020/12/08 21:06:17","2020/12/08 21:26:19","00:20:26","ELTE-krajcsi","1954","Personal Multiple","none(none)","FINISHED","none"
"507","2020/11/28 14:01:46","2020/11/28 14:21:47","00:20:33","Default","867","Personal Multiple","none(none)","FINISHED","none"
"527","2020/11/30 12:13:18","2020/11/30 12:33:19","00:20:37","Default","886","Personal Multiple","none(none)","FINISHED","none"
"567","2020/12/01 20:34:37","2020/12/01 20:54:39","00:20:42","Default","902","Personal Multiple","none(none)","FINISHED","none"
"542","2020/11/30 17:07:34","2020/11/30 17:27:35","00:20:56","Default","891","Personal Multiple","none(none)","FINISHED","none"
"557","2020/12/01 15:59:45","2020/12/01 16:19:46","00:21:02","Default","899","Personal Multiple","none(none)","FINISHED","none"
"1104","2021/09/29 13:41:28","2021/09/29 14:01:29","00:21:18","Default","2617","Personal Multiple","none(none)","FINISHED","none"
"879","2020/12/15 15:28:36","2020/12/15 15:48:37","00:21:21","ELTE-krajcsi","1989","Personal Multiple","none(none)","FINISHED","none"
"880","2020/12/15 15:39:01","2020/12/15 15:59:03","00:21:24","ELTE-krajcsi","1990","Personal Multiple","none(none)","FINISHED","none"
