"datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq"
"Fri May 15 2020 08","right","1351","p1sarr1.png","53","1734",NA,NA,NA,1,"sarr","x"
"Fri May 15 2020 08","right","1323","p1sarrcol2.png","54","1734",NA,NA,NA,1,"sarrcol","x"
"Fri May 15 2020 08","left","383","p2sarrcol2.png","55","1734",NA,NA,NA,0,"sarrcol","x"
"Fri May 15 2020 08","right","1801","prototype4.png","56","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","966","p2sarrshacol1.png","57","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","left","2033","prototype5.png","58","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","right","1632","prototype2.png","59","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","left","1570","prototype5.png","60","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","left","1273","p1sarrshacol2.png","61","1734",NA,NA,NA,0,"sarrshacol","x"
"Fri May 15 2020 08","left","1665","p2sarrcol1.png","62","1734",NA,NA,NA,0,"sarrcol","x"
"Fri May 15 2020 08","right","1158","p5sarr2.png","63","1734",NA,NA,NA,1,"sarr","x"
"Fri May 15 2020 08","right","1216","p10sarr2.png","64","1734",NA,NA,NA,1,"diffarr","x"
"Fri May 15 2020 08","None","3007","prototype1.png","65","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","2078","prototype4.png","66","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","1715","p2sarrshacol2.png","67","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","right","1117","p1sarr2.png","68","1734",NA,NA,NA,1,"sarr","x"
"Fri May 15 2020 08","right","2421","p6sarr2.png","69","1734",NA,NA,NA,1,"diffarr","x"
"Fri May 15 2020 08","right","1602","prototype2.png","70","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","914","p1sarrshacol1.png","71","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","right","2429","prototype1.png","72","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","left","1288","prototype5.png","73","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","left","1215","prototype3.png","74","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","right","1620","prototype2.png","75","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","None","3006","p5sarrsha3.png","76","1734","0","None","3006",0,"sarrsha","new"
"Fri May 15 2020 08","None","3014","p2sarrshacol1.png","77","1734","1","None","3014",0,"sarrshacol","fam"
"Fri May 15 2020 08","right","1769","p4sarr4.png","78","1734","2","right","1769",0,"sarr","new"
"Fri May 15 2020 08","right","2021","p5sarrsha2.png","79","1734","3","right","2021",0,"sarrsha","fam"
"Fri May 15 2020 08","right","2357","p7sarr2.png","80","1734","4","right","2357",0,"diffarr","fam"
"Fri May 15 2020 08","right","2294","p1sarrsha4.png","81","1734","5","right","2294",0,"sarrsha","new"
"Fri May 15 2020 08","left","1571","p3sarrcol2.png","82","1734","6","left","1571",0,"sarrcol","fam"
"Fri May 15 2020 08","right","2151","p3sarrcol3.png","83","1734","7","right","2151",0,"sarrcol","new"
"Fri May 15 2020 08","down","2936","p1sarrsha1.png","84","1734","8","down","2936",0,"sarrsha","fam"
"Fri May 15 2020 08","None","3015","p4sarr1.png","85","1734","9","None","3015",0,"sarr","fam"
"Fri May 15 2020 08","right","1475","p9sarr2.png","86","1734","10","right","1475",0,"diffarr","fam"
"Fri May 15 2020 08","left","2030","p1sarr2.png","87","1734","11","left","2030",0,"sarr","fam"
"Fri May 15 2020 08","left","1527","p3sarrcol4.png","88","1734","12","left","1527",0,"sarrcol","new"
