"","datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq","DTF","DTAF","DTAN","DTN_byPhase","stimpresseq","DTPPm","DTPPsd"
"118","Sat May 16 2020 18","right",1693,"p10sarr4.png",119,"1761",42,"right",1693,0,"diffarr","new",17,17.6,14.7894736842105,15.7777777777778,118,17.0909090909091,2.88978066059091
"119","Sat May 16 2020 18","right",1114,"p4sarrcol1.png",120,"1761",43,"right",1114,0,"sarrcol","fam",4,12.6,12.6315789473684,13.5555555555556,119,13.5277777777778,4.56950127260535
"120","Sat May 16 2020 18","right",1534,"p5sarrshacol4.png",121,"1761",44,"right",1534,0,"sarrshacol","new",2,9.6,10.7368421052632,11.2222222222222,120,11.6137931034483,5.14536766704953
"121","Sat May 16 2020 18","right",2057,"p3sarr3.png",122,"1761",45,"right",2057,0,"sarr","new",8,13.2,13.3157894736842,13.6666666666667,121,13.958904109589,4.37686190895394
"122","Sat May 16 2020 18","right",1826,"p2sarr3.png",123,"1761",46,"right",1826,0,"sarr","new",10,11.8,11.3157894736842,11.2222222222222,122,12.6802721088435,3.23716939298429
"123","Sat May 16 2020 18","down",1622,"p4sarr2.png",124,"1761",47,"down",1622,0,"sarr","fam",4,12,13.2631578947368,13.7777777777778,123,13.0472972972973,4.52857061658316
"124","Sat May 16 2020 18","right",1428,"p2sarrshacol3.png",125,"1761",48,"right",1428,0,"sarrshacol","new",4,9.8,10.2105263157895,10.5555555555556,124,11.3087248322148,4.22972002277555
"125","Sat May 16 2020 18","None",3008,"p2sarrcol2.png",126,"1761",49,"None",3008,0,"sarrcol","fam",2,9.8,10.7894736842105,11,125,11.26,4.58686481804951
"126","Sat May 16 2020 18","right",1439,"p4sarrsha3.png",127,"1761",50,"right",1439,0,"sarrsha","new",4,11.8,12.2631578947368,12.7777777777778,126,12.8145695364238,4.35492667142235
"127","Sat May 16 2020 18","right",2200,"p4sarrsha1.png",128,"1761",51,"right",2200,0,"sarrsha","fam",5,11.8,12.2105263157895,12.6666666666667,127,12.7171052631579,4.26042587672852
"128","Sat May 16 2020 18","right",1473,"p5sarrshacol3.png",129,"1761",52,"right",1473,0,"sarrshacol","new",5,10.8,11,11.4444444444444,128,12.1830065359477,4.58750865264741
"129","Sat May 16 2020 18","right",1045,"p5sarrshacol2.png",130,"1761",53,"right",1045,0,"sarrshacol","fam",3,10.6,10.8421052631579,11.1111111111111,129,11.9935064935065,4.87154838861033
"130","Sat May 16 2020 18","right",1880,"p1sarrsha3.png",131,"1761",54,"right",1880,0,"sarrsha","new",4,12.8,13.6842105263158,14.3333333333333,130,13.7032258064516,4.5629424795911
"131","Sat May 16 2020 18","right",1562,"p3sarrshacol2.png",132,"1761",55,"right",1562,0,"sarrshacol","fam",3,11.4,11.4736842105263,11.8888888888889,131,12.8461538461538,5.49856737488763
"132","Sat May 16 2020 18","down",2553,"p10sarr2.png",133,"1761",56,"down",2553,0,"diffarr","fam",17,17.2,14.9473684210526,15.2222222222222,132,16.7324840764331,3.15493542053679
"133","Sat May 16 2020 18","down",1694,"p5sarrcol3.png",134,"1761",57,"down",1694,0,"sarrcol","new",3,11.2,11.4736842105263,11.8888888888889,133,12.493670886076,4.57457225099016
"134","Sat May 16 2020 18","left",1670,"p5sarr4.png",135,"1761",58,"left",1670,0,"sarr","new",9,12.8,12.8947368421053,13.3333333333333,134,13.1823899371069,3.42709853646379
"135","Sat May 16 2020 18","right",1535,"p3sarrsha1.png",136,"1761",59,"right",1535,0,"sarrsha","fam",4,11.6,11.8421052631579,12.3333333333333,135,13.04375,5.36860999425738
"136","Sat May 16 2020 18","right",984,"p5sarr1.png",137,"1761",60,"right",984,0,"sarr","fam",6,12.2,12.4210526315789,12.6666666666667,136,12.7515527950311,4.37039908918599
"137","Sat May 16 2020 18","right",871,"p1sarrcol2.png",138,"1761",61,"right",871,0,"sarrcol","fam",3,12.8,13.8421052631579,14.4444444444444,137,13.8395061728395,4.59531706034032
"138","Sat May 16 2020 18","right",1243,"p6sarr4.png",139,"1761",62,"right",1243,0,"diffarr","new",12,16.8,17.7894736842105,17.8888888888889,138,16.8773006134969,3.34031307421401
"139","Sat May 16 2020 18","right",1752,"p6sarr3.png",140,"1761",63,"right",1752,0,"diffarr","new",11,16.6,17.8421052631579,18.2222222222222,139,16.7621951219512,3.5253034588573
"140","Sat May 16 2020 18","down",2026,"p4sarr3.png",141,"1761",64,"down",2026,0,"sarr","new",5,11,13.3157894736842,13.8888888888889,140,12.4969696969697,4.02677659991978
"141","Sat May 16 2020 18","right",1748,"p1sarrsha2.png",142,"1761",65,"right",1748,0,"sarrsha","fam",4,13,13.5789473684211,14.2222222222222,141,13.8253012048193,4.60956432236921
"142","Sat May 16 2020 18","right",1671,"p2sarrsha4.png",143,"1761",66,"right",1671,0,"sarrsha","new",4,10,10.1052631578947,10.4444444444444,142,11.3473053892216,4.11568867842818
"143","Sat May 16 2020 18","left",1671,"p3sarrcol1.png",144,"1761",67,"left",1671,0,"sarrcol","fam",3,11.6,12.4736842105263,12.8888888888889,143,13.2440476190476,5.32252812809529
"144","Sat May 16 2020 18","right",1965,"p2sarrsha2.png",145,"1761",68,"right",1965,0,"sarrsha","fam",5,9.4,10,10.4444444444444,144,11.0355029585799,4.06918368308895
"145","Sat May 16 2020 18","right",1868,"p6sarr2.png",146,"1761",69,"right",1868,0,"diffarr","fam",12,16.2,17.6315789473684,17.8888888888889,145,16.2176470588235,3.9365883908175
"146","Sat May 16 2020 18","right",842,"p1sarrshacol2.png",147,"1761",70,"right",842,0,"sarrshacol","fam",3,12.8,13.3684210526316,13.7777777777778,146,13.5321637426901,4.86921487777771
"147","Sat May 16 2020 18","right",2564,"p4sarrsha2.png",148,"1761",71,"right",2564,0,"sarrsha","fam",4,11.6,11.8421052631579,12.2222222222222,147,12.7906976744186,4.43567746777459
