"batchId","batchTitle","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","workerId","type","tq","DTF","DTAF","DTAN","DTN_byPhase","DTN"
30,"krajcsi",47,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1304,1304,NA,"p1sarrsha2.png",514,"1761","sarrsha","study",4,13,13.5789473684211,14.2222222222222,14.2020202020202
30,"krajcsi",48,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1013,1013,NA,"p7sarr2.png",514,"1761","diffarr","study",15,16.4,15.7894736842105,16.3333333333333,16.7676767676768
30,"krajcsi",49,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","None","None","",3009,3009,NA,"p4sarr1.png",514,"1761","sarr","study",6,12,12.7368421052632,13.2222222222222,13.4848484848485
30,"krajcsi",50,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",959,959,NA,"p10sarr1.png",514,"1761","diffarr","study",18,17.6,14.8421052631579,14.7777777777778,17.020202020202
30,"krajcsi",51,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1666,1666,NA,"prototype3.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",52,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1390,1390,NA,"p1sarr1.png",514,"1761","sarr","study",8,13.8,13.7894736842105,14.3333333333333,14.2222222222222
30,"krajcsi",53,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1098,1098,NA,"p1sarrcol2.png",514,"1761","sarrcol","study",3,12.8,13.8421052631579,14.4444444444444,14.1515151515152
30,"krajcsi",54,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2569,2569,NA,"p2sarrcol2.png",514,"1761","sarrcol","study",2,9.8,10.7894736842105,11,12.1616161616162
30,"krajcsi",55,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1322,1322,NA,"prototype4.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",56,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",973,973,NA,"p2sarrshacol1.png",514,"1761","sarrshacol","study",2,9.4,9.8421052631579,10.4444444444444,11.9191919191919
30,"krajcsi",57,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1727,1727,NA,"prototype5.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",58,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1296,1296,NA,"prototype2.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",59,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",2247,2247,NA,"prototype5.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",60,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1190,1190,NA,"p1sarrshacol2.png",514,"1761","sarrshacol","study",3,12.8,13.3684210526316,13.7777777777778,13.979797979798
