"","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","total_responses","workerId","stimtype","st_corr","test_quality","rt_corr","DTPPm","DTPPsd"
"5084",74,40,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1190,1492,1190,"p9d4_2.png",125,116,327,"D5",0,"fam",1,0,0
"5085",74,41,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1415,1492,1415,"p10d4_3.png",125,117,327,"D5",0,"new",1,0,0
"5086",74,42,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1281,1492,1281,"p3d4_3.png",125,118,327,"D4",0,"new",0,0,0
"5087",74,43,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1389,1492,1389,"p1d2_1.png",125,119,327,"D2",0,"fam",0,0,0
"5088",74,44,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1129,1492,1129,"p1d1_2.png",125,120,327,"D1",0,"fam",1,0,0
"5089",74,45,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",2013,1492,2013,"p3d4_1.png",125,121,327,"D4",0,"fam",0,0,0
"5090",74,46,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1437,1492,1437,"p6d4_2.png",125,122,327,"D5",0,"fam",0,0,0
"5091",74,47,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1026,1492,1026,"p3d3_1.png",125,123,327,"D3",0,"fam",1,0,0
"5092",74,48,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1581,1492,1581,"p3d1_4.png",125,124,327,"D1",0,"new",0,0,0
"5093",74,49,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1254,1492,1254,"p1d1_1.png",125,125,327,"D1",0,"fam",1,0,0
"5094",74,50,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1448,1492,1448,"p5d4_1.png",125,126,327,"D4",0,"fam",1,0,0
"5095",74,51,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1531,1492,1531,"p7d4_4.png",125,127,327,"D5",0,"new",1,0,0
"5096",74,52,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1113,1492,1113,"p6d4_4.png",125,128,327,"D5",0,"new",0,0,0
"5097",74,53,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1005,1492,1005,"p4d2_3.png",125,129,327,"D2",0,"new",0,0,0
"5098",74,54,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",2025,1492,2025,"p1d4_3.png",125,130,327,"D4",0,"new",0,0,0
"5099",74,55,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",996,1492,996,"p5d2_2.png",125,131,327,"D2",0,"fam",0,0,0
"5100",74,56,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1070,1492,1070,"p2d3_2.png",125,132,327,"D3",0,"fam",1,0,0
"5101",74,57,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1196,1492,1196,"p5d4_2.png",125,133,327,"D4",0,"fam",0,0,0
"5102",74,58,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",710,1492,710,"p1d3_4.png",125,134,327,"D3",0,"new",1,0,0
"5103",74,59,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1549,1492,1549,"p4d2_2.png",125,135,327,"D2",0,"fam",0,0,0
"5104",74,60,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1070,1492,1070,"p1d1_3.png",125,136,327,"D1",0,"new",1,0,0
"5105",74,61,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",967,1492,967,"p4d4_4.png",125,137,327,"D4",0,"new",0,0,0
"5106",74,62,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",859,1492,859,"p1d2_2.png",125,138,327,"D2",0,"fam",1,0,0
"5107",74,63,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1982,1492,1982,"p1d4_4.png",125,139,327,"D4",0,"new",0,0,0
"5108",74,64,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",904,1492,904,"p4d4_1.png",125,140,327,"D4",0,"fam",0,0,0
"5109",74,65,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",807,1492,807,"p3d2_4.png",125,141,327,"D2",0,"new",1,0,0
"5110",74,66,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1146,1492,1146,"p3d2_2.png",125,142,327,"D2",0,"fam",0,0,0
"5111",74,67,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1094,1492,1094,"p2d4_3.png",125,143,327,"D4",0,"new",1,0,0
"5112",74,68,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",956,1492,956,"p1d2_4.png",125,144,327,"D2",0,"new",1,0,0
"5113",74,69,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",726,1492,726,"p4d1_2.png",125,145,327,"D1",0,"fam",0,0,0
"5114",74,70,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",788,1492,788,"p4d4_3.png",125,146,327,"D4",0,"new",1,0,0
"5115",74,71,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1008,1492,1008,"p3d2_3.png",125,147,327,"D2",0,"new",0,0,0
"5116",74,72,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",882,1492,882,"p2d1_1.png",125,148,327,"D1",0,"fam",1,0,0
"5117",74,73,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1572,1492,1572,"p1d3_1.png",125,149,327,"D3",0,"fam",0,0,0
"5118",74,74,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",750,1492,750,"p6d4_3.png",125,150,327,"D5",0,"new",1,0,0
"5119",74,75,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1431,1492,1431,"p5d2_1.png",125,151,327,"D2",0,"fam",1,0,0
"5120",74,76,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1575,1492,1575,"p9d4_3.png",125,152,327,"D5",0,"new",0,0,0
"5121",74,77,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1176,1492,1176,"p2d2_4.png",125,153,327,"D2",0,"new",1,0,0
"5122",74,78,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1944,1492,1944,"p2d3_3.png",125,154,327,"D3",0,"new",1,0,0
"5123",74,79,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1518,1492,1518,"p3d2_1.png",125,155,327,"D2",0,"fam",0,0,0
"5124",74,80,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1503,1492,1503,"p2d4_4.png",125,156,327,"D4",0,"new",0,0,0
"5125",74,81,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1097,1492,1097,"p9d4_1.png",125,157,327,"D5",0,"fam",0,0,0
"5126",74,82,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",976,1492,976,"p1d4_2.png",125,158,327,"D4",0,"fam",0,0,0
"5127",74,83,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1604,1492,1604,"p8d4_4.png",125,159,327,"D5",0,"new",1,0,0
"5128",74,84,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1226,1492,1226,"p1d3_2.png",125,160,327,"D3",0,"fam",1,0,0
"5129",74,85,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1064,1492,1064,"p5d1_4.png",125,161,327,"D1",0,"new",1,0,0
"5130",74,86,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1226,1492,1226,"p5d2_4.png",125,162,327,"D2",0,"new",0,0,0
"5131",74,87,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",789,1492,789,"p5d3_4.png",125,163,327,"D3",0,"new",1,0,0
"5132",74,88,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1717,1492,1717,"p2d1_4.png",125,164,327,"D1",0,"new",0,0,0
"5133",74,89,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1535,1492,1535,"p5d1_1.png",125,165,327,"D1",0,"fam",1,0,0
"5134",74,90,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",2343,1492,2343,"p4d1_4.png",125,166,327,"D1",0,"new",1,0,0
"5135",74,91,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1974,1492,1974,"p2d3_4.png",125,167,327,"D3",0,"new",1,0,0
"5136",74,92,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1491,1492,1491,"p2d2_3.png",125,168,327,"D2",0,"new",0,0,0
"5137",74,93,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1222,1492,1222,"p4d3_4.png",125,169,327,"D3",0,"new",1,0,0
"5138",74,94,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1281,1492,1281,"p10d4_4.png",125,170,327,"D5",0,"new",0,0,0
"5139",74,95,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1165,1492,1165,"p6d4_1.png",125,171,327,"D5",0,"fam",0,0,0
"5140",74,96,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","right","left","right",1327,1492,1327,"p5d1_3.png",125,172,327,"D1",0,"new",1,0,0
"5141",74,97,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1706,1492,1706,"p7d4_2.png",125,173,327,"D5",0,"fam",1,0,0
"5142",74,98,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1046,1492,1046,"p5d1_2.png",125,174,327,"D1",0,"fam",1,0,0
"5143",74,99,"Mon Oct 26 2020 11:28:35 GMT+0100 (közép-európai téli idõ)","left","left","left",1574,1492,1574,"p2d1_2.png",125,175,327,"D1",0,"fam",1,0,0
"5144",0,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1916,1916,NA,"p2d3_2.png",124,1,325,"D3",1,NA,NA,0,0
"5145",1,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1372,1372,NA,"prototype2.png",124,2,325,"prototype",1,NA,NA,0,0
"5146",2,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1423,1423,NA,"p4d1_2.png",124,3,325,"D1",0,NA,NA,0,0
"5147",3,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1679,1679,NA,"prototype4.png",124,4,325,"prototype",1,NA,NA,0,0
"5148",4,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1085,1085,NA,"p2d1_2.png",124,5,325,"D1",1,NA,NA,0,0
"5149",5,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1174,1174,NA,"p4d2_1.png",124,6,325,"D2",1,NA,NA,0,0
"5150",6,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",872,872,NA,"p6d4_2.png",124,7,325,"D5",1,NA,NA,0,0
"5151",7,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1461,1461,NA,"prototype3.png",124,8,325,"prototype",1,NA,NA,0,0
"5152",8,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1121,1121,NA,"p5d4_1.png",124,9,325,"D4",1,NA,NA,0,0
"5153",9,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1862,1862,NA,"p4d3_1.png",124,10,325,"D3",1,NA,NA,0,0
"5154",10,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",889,889,NA,"p2d2_2.png",124,11,325,"D2",1,NA,NA,0,0
"5155",11,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",2073,2073,NA,"p5d4_2.png",124,12,325,"D4",0,NA,NA,0,0
"5156",12,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",2645,2645,NA,"prototype3.png",124,13,325,"prototype",1,NA,NA,0,0
"5157",13,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",863,863,NA,"p3d3_2.png",124,14,325,"D3",1,NA,NA,0,0
"5158",14,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",921,921,NA,"p2d4_2.png",124,15,325,"D4",1,NA,NA,0,0
"5159",15,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1348,1348,NA,"prototype3.png",124,16,325,"prototype",1,NA,NA,0,0
"5160",16,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",2227,2227,NA,"prototype5.png",124,17,325,"prototype",1,NA,NA,0,0
"5161",17,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",2265,2265,NA,"prototype5.png",124,18,325,"prototype",1,NA,NA,0,0
"5162",18,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1081,1081,NA,"prototype2.png",124,19,325,"prototype",0,NA,NA,0,0
"5163",19,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1528,1528,NA,"prototype5.png",124,20,325,"prototype",1,NA,NA,0,0
"5164",20,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",928,928,NA,"p1d4_2.png",124,21,325,"D4",1,NA,NA,0,0
"5165",21,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1873,1873,NA,"prototype2.png",124,22,325,"prototype",0,NA,NA,0,0
"5166",22,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1096,1096,NA,"prototype2.png",124,23,325,"prototype",0,NA,NA,0,0
"5167",23,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1130,1130,NA,"p3d2_1.png",124,24,325,"D2",1,NA,NA,0,0
"5168",24,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1036,1036,NA,"p6d4_1.png",124,25,325,"D5",1,NA,NA,0,0
"5169",25,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",783,783,NA,"p2d4_1.png",124,26,325,"D4",1,NA,NA,0,0
"5170",26,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",659,659,NA,"p9d4_2.png",124,27,325,"D5",1,NA,NA,0,0
"5171",27,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1885,1885,NA,"prototype1.png",124,28,325,"prototype",0,NA,NA,0,0
"5172",28,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1411,1411,NA,"p4d4_1.png",124,29,325,"D4",1,NA,NA,0,0
"5173",29,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1094,1094,NA,"p3d2_2.png",124,30,325,"D2",1,NA,NA,0,0
"5174",30,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",778,778,NA,"p10d4_1.png",124,31,325,"D5",1,NA,NA,15.6785714285714,4.13898161764085
"5175",31,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",850,850,NA,"p7d4_1.png",124,32,325,"D5",1,NA,NA,0,0
"5176",32,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",2180,2180,NA,"p1d2_2.png",124,33,325,"D2",0,NA,NA,0,0
"5177",33,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",2254,2254,NA,"p5d3_2.png",124,34,325,"D3",1,NA,NA,0,0
"5178",34,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1039,1039,NA,"p2d3_1.png",124,35,325,"D3",1,NA,NA,0,0
"5179",35,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1324,1324,NA,"prototype4.png",124,36,325,"prototype",0,NA,NA,0,0
"5180",36,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",805,805,NA,"p2d1_1.png",124,37,325,"D1",1,NA,NA,0,0
"5181",37,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",2425,2425,NA,"prototype3.png",124,38,325,"prototype",1,NA,NA,0,0
"5182",38,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1207,1207,NA,"prototype4.png",124,39,325,"prototype",0,NA,NA,0,0
"5183",39,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",870,870,NA,"p3d4_1.png",124,40,325,"D4",1,NA,NA,0,0
"5184",40,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1022,1022,NA,"p3d3_1.png",124,41,325,"D3",1,NA,NA,0,0
"5185",41,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1417,1417,NA,"p5d1_2.png",124,42,325,"D1",0,NA,NA,0,0
"5186",42,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1180,1180,NA,"prototype4.png",124,43,325,"prototype",0,NA,NA,0,0
"5187",43,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",2295,2295,NA,"prototype1.png",124,44,325,"prototype",0,NA,NA,0,0
"5188",44,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1172,1172,NA,"prototype1.png",124,45,325,"prototype",0,NA,NA,0,0
"5189",45,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1760,1760,NA,"p5d3_1.png",124,46,325,"D3",1,NA,NA,0,0
"5190",46,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1583,1583,NA,"prototype3.png",124,47,325,"prototype",0,NA,NA,0,0
"5191",47,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",951,951,NA,"p7d4_2.png",124,48,325,"D5",1,NA,NA,0,0
"5192",48,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",828,828,NA,"p3d4_2.png",124,49,325,"D4",1,NA,NA,0,0
"5193",49,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1743,1743,NA,"p4d3_2.png",124,50,325,"D3",1,NA,NA,0,0
"5194",50,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1104,1104,NA,"p5d2_1.png",124,51,325,"D2",1,NA,NA,0,0
"5195",51,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",670,670,NA,"p3d1_2.png",124,52,325,"D1",1,NA,NA,0,0
"5196",52,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",610,610,NA,"p9d4_1.png",124,53,325,"D5",1,NA,NA,0,0
"5197",53,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1261,1261,NA,"p1d4_1.png",124,54,325,"D4",0,NA,NA,0,0
"5198",54,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1083,1083,NA,"p5d2_2.png",124,55,325,"D2",1,NA,NA,0,0
"5199",55,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1665,1665,NA,"p1d1_2.png",124,56,325,"D1",0,NA,NA,0,0
"5200",56,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",922,922,NA,"p1d1_1.png",124,57,325,"D1",1,NA,NA,0,0
"5201",57,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",718,718,NA,"p4d4_2.png",124,58,325,"D4",1,NA,NA,0,0
"5202",58,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",941,941,NA,"p3d1_1.png",124,59,325,"D1",1,NA,NA,0,0
"5203",59,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",979,979,NA,"p5d1_1.png",124,60,325,"D1",1,NA,NA,0,0
"5204",60,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1280,1280,NA,"p4d1_1.png",124,61,325,"D1",1,NA,NA,0,0
"5205",61,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",840,840,NA,"p1d3_2.png",124,62,325,"D3",1,NA,NA,0,0
"5206",62,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","None","None","",3010,3010,NA,"prototype4.png",124,63,325,"prototype",NA,NA,NA,0,0
"5207",63,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1879,1879,NA,"p4d2_2.png",124,64,325,"D2",1,NA,NA,0,0
"5208",64,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1364,1364,NA,"p10d4_2.png",124,65,325,"D5",1,NA,NA,0,0
"5209",65,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1287,1287,NA,"prototype5.png",124,66,325,"prototype",0,NA,NA,0,0
"5210",66,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1079,1079,NA,"p1d3_1.png",124,67,325,"D3",1,NA,NA,0,0
"5211",67,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1206,1206,NA,"prototype5.png",124,68,325,"prototype",1,NA,NA,0,0
"5212",68,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",806,806,NA,"p8d4_1.png",124,69,325,"D5",1,NA,NA,0,0
"5213",69,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1027,1027,NA,"p2d2_1.png",124,70,325,"D2",1,NA,NA,0,0
"5214",70,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1381,1381,NA,"p8d4_2.png",124,71,325,"D5",1,NA,NA,0,0
"5215",71,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",1170,1170,NA,"prototype2.png",124,72,325,"prototype",0,NA,NA,0,0
"5216",72,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1411,1411,NA,"prototype1.png",124,73,325,"prototype",1,NA,NA,0,0
"5217",73,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","right","",890,890,NA,"p1d2_1.png",124,74,325,"D2",1,NA,NA,0,0
"5218",74,NA,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","",1023,1023,NA,"prototype1.png",124,75,325,"prototype",1,NA,NA,0,0
"5219",74,0,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","None","left","None",3007,1023,3007,"p3d1_2.png",124,76,325,"D1",0,"fam",NA,0,0
"5220",74,1,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","left",1668,1023,1668,"p1d2_4.png",124,77,325,"D2",0,"new",0,0,0
"5221",74,2,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","left","right",2149,1023,2149,"p2d2_3.png",124,78,325,"D2",0,"new",1,0,0
"5222",74,3,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","left",1366,1023,1366,"p4d2_1.png",124,79,325,"D2",0,"fam",1,0,0
"5223",74,4,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","left",954,1023,954,"p1d3_4.png",124,80,325,"D3",0,"new",0,0,0
"5224",74,5,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","left",1113,1023,1113,"p1d3_3.png",124,81,325,"D3",0,"new",0,0,0
"5225",74,6,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","left","right",1147,1023,1147,"p3d4_1.png",124,82,325,"D4",0,"fam",0,0,0
"5226",74,7,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","left","right",1070,1023,1070,"p5d2_2.png",124,83,325,"D2",0,"fam",0,0,0
"5227",74,8,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","left","right",974,1023,974,"p2d4_1.png",124,84,325,"D4",0,"fam",0,0,0
"5228",74,9,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","left",898,1023,898,"p3d4_4.png",124,85,325,"D4",0,"new",0,0,0
"5229",74,10,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","left","right",1481,1023,1481,"p3d3_1.png",124,86,325,"D3",0,"fam",0,0,0
"5230",74,11,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","left","right",1123,1023,1123,"p4d2_4.png",124,87,325,"D2",0,"new",1,0,0
"5231",74,12,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","right","left","right",874,1023,874,"p5d4_4.png",124,88,325,"D4",0,"new",1,0,0
"5232",74,13,"Mon Oct 26 2020 11:08:48 GMT+0100 (közép-európai téli idõ)","left","left","left",1386,1023,1386,"p6d4_1.png",124,89,325,"D5",0,"fam",1,0,0
