"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"7332",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,42,"25-03-23","19:46:32","d0d5vp",2254,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",966,746,0,1682444847894,"p4sarrsha3.png","sarrsha","new"
"7333",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,43,"25-03-23","19:46:32","d0d5vp",1389,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",966,1611,0,1682444847894,"p4sarrsha1.png","sarrsha","old"
"7334",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,44,"25-03-23","19:46:32","d0d5vp",1133,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1867,0,1682444847894,"p1sarrsha3.png","sarrsha","new"
"7335",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,45,"25-03-23","19:46:32","d0d5vp",1703,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1297,0,1682444847894,"p3sarrshacol2.png","sarrshacol","old"
"7336",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,46,"25-03-23","19:46:32","d0d5vp",1588,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1412,0,1682444847894,"p3sarrsha1.png","sarrsha","old"
"7337",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,47,"25-03-23","19:46:32","d0d5vp",1804,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1196,0,1682444847894,"p1sarrcol2.png","sarrcol","old"
"7338",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,48,"25-03-23","19:46:32","d0d5vp",880,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","down",966,2120,0,1682444847894,"p6sarr4.png","diffarr","new"
"7339",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,49,"25-03-23","19:46:32","d0d5vp",1665,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1335,0,1682444847894,"p6sarr3.png","diffarr","new"
"7340",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,50,"25-03-23","19:46:32","d0d5vp",1927,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1073,0,1682444847894,"p4sarr3.png","sarr","new"
"7341",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,51,"25-03-23","19:46:32","d0d5vp",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","None",966,3008,0,1682444847894,"p1sarrsha2.png","sarrsha","old"
"7342",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,52,"25-03-23","19:46:32","d0d5vp",1293,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1707,0,1682444847894,"p2sarrsha4.png","sarrsha","new"
"7343",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,53,"25-03-23","19:46:32","d0d5vp",973,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","down",966,2027,0,1682444847894,"p3sarrcol1.png","sarrcol","old"
"7344",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,54,"25-03-23","19:46:32","d0d5vp",1520,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1480,0,1682444847894,"p2sarrsha2.png","sarrsha","old"
"7345",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,55,"25-03-23","19:46:32","d0d5vp",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","None",966,3006,0,1682444847894,"p6sarr2.png","diffarr","old"
