"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,52,NA,"17-10-23","13:30:52","nkmjus",2194,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",806,NA,0,1700224293955,"prototype1.png","prototype","study"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,53,NA,"17-10-23","13:30:52","nkmjus",2236,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",764,NA,0,1700224293955,"p1sarrshacol1.png","sarrshacol","study"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,54,NA,"17-10-23","13:30:52","nkmjus",1809,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1191,NA,0,1700224293955,"p3sarr2.png","sarr","study"
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,55,NA,"17-10-23","13:30:52","nkmjus",2265,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",735,NA,0,1700224293955,"prototype2.png","prototype","study"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,56,NA,"17-10-23","13:30:52","nkmjus",1688,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1312,NA,0,1700224293955,"prototype4.png","prototype","study"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,57,NA,"17-10-23","13:30:52","nkmjus",2176,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",824,NA,0,1700224293955,"p3sarrsha1.png","sarrsha","study"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,58,NA,"17-10-23","13:30:52","nkmjus",2250,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",750,NA,0,1700224293955,"prototype4.png","prototype","study"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,NA,"17-10-23","13:30:52","nkmjus",1954,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1046,NA,0,1700224293955,"p1sarr1.png","sarr","study"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,0,"17-10-23","13:30:52","nkmjus",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","None",1046,3013,0,1700224293955,"p2sarrshacol1.png","sarrshacol","old"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,1,"17-10-23","13:30:52","nkmjus",852,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",1046,2148,0,1700224293955,"p4sarr4.png","sarr","new"
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,2,"17-10-23","13:30:52","nkmjus",1399,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",1046,1601,0,1700224293955,"p7sarr2.png","diffarr","old"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,3,"17-10-23","13:30:52","nkmjus",1130,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",1046,1870,0,1700224293955,"p1sarrsha4.png","sarrsha","new"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,4,"17-10-23","13:30:52","nkmjus",1896,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",1046,1104,0,1700224293955,"p3sarrcol2.png","sarrcol","old"
